Poolsize;Teamsize;Alpha;Beta;ES_Comp;ES_Work;Greedy_Comp;Greedy_Work;Es_Time;Greedy_time
100;5;0,0;1,0;0,8347;0,4359;0,8347;0,4359;9746,904300;0,093833
100;5;0,2;0,8;0,8347;0,4359;0,8347;0,4359;9291,131700;0,066959
100;5;0,5;0,5;0,7369;0,2025;0,6712;0,1636;9246,446200;0,070123
100;5;0,8;0,2;0,6712;0,1636;0,6712;0,1636;9190,044100;0,059856
100;5;1,0;0,0;0,6712;0,1636;0,6712;0,1636;9339,480900;0,055038
