Poolsize;Teamsize;Alpha;Beta;ES_Comp;ES_Work;Greedy_Comp;Greedy_Work;Es_Time;Greedy_time;Greedy_score;Es_Score;Approx;
20;5;0,5;0,5;0,7496;0,3661;0,6859;0,3393;5,799100;0,002430;0,173316;0,191761;0,903810
30;5;0,5;0,5;0,7613;0,3393;0,7613;0,3393;30,812100;0,002512;0,211008;0,211008;1,000000
40;5;0,5;0,5;0,7544;0,3008;0,7289;0,2941;116,420900;0,002875;0,217400;0,226809;0,958517
50;5;0,5;0,5;0,7808;0,2941;0,7199;0,2776;294,951900;0,002974;0,221135;0,243342;0,908743
60;5;0,5;0,5;0,7808;0,2941;0,6866;0,2025;708,498900;0,003385;0,242026;0,243342;0,994592
70;5;0,5;0,5;0,7194;0,2025;0,6694;0,1884;1518,796400;0,004132;0,240475;0,258455;0,930433
80;5;0,5;0,5;0,7369;0,2025;0,6712;0,1636;2986,024000;0,004689;0,253812;0,267203;0,949884
90;5;0,5;0,5;0,7369;0,2025;0,6712;0,1636;5555,802700;0,005389;0,253812;0,267203;0,949884
100;5;0,5;0,5;0,7369;0,2025;0,6712;0,1636;9232,769800;0,005890;0,253812;0,267203;0,949884
110;5;0,5;0,5;0,7369;0,2025;0,6739;0,1635;14818,345100;0,006544;0,255177;0,267203;0,954993
120;5;0,5;0,5;0,7568;0,2101;0,6838;0,1553;23417,042200;0,007411;0,264234;0,273330;0,966723
