Poolsize;Teamsize;Alpha;Beta;ES_Comp;ES_Work;Greedy_Comp;Greedy_Work;Es_Time;Greedy_time
70;5;0,8;0,2;0,7022;0,1933;0,6694;0,1884;1456,420600;0,035856
70;5;0,9;0,1;0,6694;0,1884;0,6694;0,1884;1457,436100;0,037768
70;5;1,0;0,0;0,6694;0,1884;0,6694;0,1884;1465,000000;0,037371
80;5;0,0;1,0;0,8347;0,4359;0,8347;0,4359;2944,133600;0,060925
80;5;0,1;0,9;0,8347;0,4359;0,8347;0,4359;3049,616500;0,052531
80;5;0,2;0,8;0,8347;0,4359;0,8347;0,4359;2920,064100;0,049463
80;5;0,3;0,7;0,7827;0,2941;0,7827;0,2941;2938,526700;0,043184
80;5;0,4;0,6;0,7369;0,2025;0,7054;0,1884;2915,767200;0,042493
80;5;0,5;0,5;0,7369;0,2025;0,6712;0,1636;2888,074200;0,040113
80;5;0,6;0,4;0,7233;0,1933;0,6712;0,1636;2884,352900;0,040922
80;5;0,7;0,3;0,6712;0,1636;0,6712;0,1636;2863,183500;0,039402
80;5;0,8;0,2;0,6712;0,1636;0,6712;0,1636;2843,812700;0,041244
80;5;0,9;0,1;0,6712;0,1636;0,6712;0,1636;2882,104200;0,053536
80;5;1,0;0,0;0,6712;0,1636;0,6712;0,1636;3074,315500;0,041763
90;5;0,0;1,0;0,8347;0,4359;0,8347;0,4359;6068,786900;0,064306
90;5;0,1;0,9;0,8347;0,4359;0,8347;0,4359;6074,091600;0,061544
90;5;0,2;0,8;0,8347;0,4359;0,8347;0,4359;6212,484600;0,061148
90;5;0,3;0,7;0,7827;0,2941;0,7827;0,2941;6106,692000;0,051908
90;5;0,4;0,6;0,7369;0,2025;0,7054;0,1884;6263,369700;0,051298
90;5;0,5;0,5;0,7369;0,2025;0,6712;0,1636;5994,389900;0,051119
90;5;0,6;0,4;0,7233;0,1933;0,6712;0,1636;5844,162900;0,051350
90;5;0,7;0,3;0,6712;0,1636;0,6712;0,1636;5632,423800;0,047366
90;5;0,8;0,2;0,6712;0,1636;0,6712;0,1636;5424,119800;0,048166
90;5;0,9;0,1;0,6712;0,1636;0,6712;0,1636;6127,776500;0,065383
90;5;1,0;0,0;0,6712;0,1636;0,6712;0,1636;6051,167000;0,051293
100;5;0,0;1,0;0,8347;0,4359;0,8347;0,4359;9460,589400;0,054300
100;5;0,1;0,9;0,8347;0,4359;0,8347;0,4359;9153,656500;0,055775
100;5;0,2;0,8;0,8347;0,4359;0,8347;0,4359;9205,314500;0,057549
100;5;0,3;0,7;0,7827;0,2941;0,7827;0,2941;9216,580000;0,059904
100;5;0,4;0,6;0,7369;0,2025;0,7054;0,1884;9311,054500;0,051558
100;5;0,5;0,5;0,7369;0,2025;0,6712;0,1636;8971,148500;0,051810
100;5;0,6;0,4;0,7233;0,1933;0,6712;0,1636;8900,722700;0,057076
100;5;0,7;0,3;0,6712;0,1636;0,6712;0,1636;8964,145500;0,081777
100;5;0,8;0,2;0,6712;0,1636;0,6712;0,1636;8849,663700;0,050376
100;5;0,9;0,1;0,6712;0,1636;0,6712;0,1636;8882,769500;0,054425
100;5;1,0;0,0;0,6712;0,1636;0,6712;0,1636;10316,180100;0,065444
